,Mission,Launch Date,launch_link,mission_headline
0,CRS-26 Mission,"November 26, 2022",/launches/crs-26/," On Saturday, November 26 at 2:20 p.m. ET, Falcon 9 launched Dragon’s 26th Commercial Resupply Services mission (CRS-26) to the International Space Station from Launch Complex 39A (LC-39A) at NASA’s Kennedy Space Center in Florida. Following stage separation, Falcon 9’s first stage landed on the Just Read the Instructions droneship in the Atlantic Ocean.,  Dragon will autonomously dock with the space station on Saturday, November 27, at approximately 7:30 a.m. ET (12:30 UTC)."
1,Eutelsat 10B Mission,"November 22, 2022",/launches/eutelsat-10b/," On Tuesday, November 22 at 9:57 p.m. ET, Falcon 9 launched the Eutelsat 10B mission to a geosynchronous transfer orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the eleventh launch of this booster, which previously supported the launch of Telstar 18 VANTAGE, Iridium-8, and nine Starlink missions."
2,Intelsat G-31/G-32 Mission,"November 12, 2022",/launches/intelsat-g-31-g-32/," On Saturday, November 12 at 11:06 a.m. ET, Falcon 9 launched the Intelsat G-31/G-32 mission to a geosynchronous transfer orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the fourteenth launch of this booster, which previously supported Dragon’s first crew demonstration mission, the RADARSAT Constellation Mission, SXM-7, and 10 Starlink missions."
3,Eutelsat HOTBIRD 13G Mission,"November 3, 2022",/launches/eutelsat-hotbird-13g/," On Thursday, November 3 at 1:22 a.m. ET, Falcon 9 launched the Eutelsat HOTBIRD 13G mission to a geosynchronous transfer orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the seventh launch and landing of this booster, which previously supported the launch of CRS-22, Crew-3, Turksat 5B, Crew-4, CRS-25, and one Starlink mission."
4,USSF-44 Mission,"November 1, 2022",/launches/ussf-44/," On Tuesday, November 1 at 9:41 a.m. ET, Falcon Heavy launched the USSF-44 mission to a geosynchronous Earth orbit from Launch Complex 39A (LC-39A) at Kennedy Space Center in Florida.,  This was the first launch and landing of these Falcon Heavy side boosters, which will be prepared for re-flight on a future U.S. Space Force mission later this year."
5,Starlink Mission,"October 27, 2022",/launches/sl4-31/," On Thursday, October 27 at 6:14 p.m. PT, SpaceX launched 53 Starlink satellites to low-Earth orbit from Space Launch Complex 4E (SLC-4E) at Vandenberg Space Force Base in California.,  This was the eighth launch and landing for this Falcon 9 first stage booster, which previously launched Sentinel-6 Michael Freilich, DART, and now six Starlink missions."
6,Starlink Mission,"October 20, 2022",/launches/sl4-36/," On Thursday, October 20 at 10:50 a.m. ET, SpaceX launched 54 Starlink satellites to low-Earth orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the tenth launch and landing for this Falcon 9 first stage booster, which previously launched GPS III Space Vehicle 04, GPS III Space Vehicle 05, Inspiration4, Ax-1, Nilesat 301, and now five Starlink missions."
7,Eutelsat HOTBIRD 13F Mission,"October 15, 2022",/launches/eutelsat-hotbird-13f/," On Saturday, October 15 at 1:22 a.m. ET, Falcon 9 launched the Eutelsat HOTBIRD 13F mission to a geosynchronous transfer orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the third launch and landing of this booster, which previously supported the launch of CRS-24 and one Starlink mission."
8,Crew-4 Returns to Earth,"October 14, 2022",/launches/crew-4-return/," After 170 days in space, Dragon and Crew-4 astronauts Kjell Lindgren, Bob Hines, Jessica Watkins, and Samantha Cristoforetti returned to Earth and splashed down off the coast of Florida at 4:55 p.m. ET on Friday, October 14.,  Falcon 9launchedDragon and the Crew-4 astronauts to the orbiting laboratory on Wednesday, April 27 at 3:52 a.m. ET from Launch Complex 39A at NASA’s Kennedy Space Center in Florida."
9,Intelsat G-33/G-34 Mission,"October 8, 2022",/launches/intelsatg33g34/," On Saturday, October 8 at 7:05 p.m. ET, Falcon 9 launched the Intelsat G-33/G-34 mission to a geosynchronous transfer orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the 14th launch and landing of this booster, which previously supported the launch of GPS III-3, Turksat 5A, Transporter-2, and 10 Starlink missions."
10,Starlink Mission,"October 5, 2022",/launches/sl4-29/," On Wednesday, October 5 at 4:10 p.m. PT, SpaceX launched 52 Starlink satellites to low-Earth orbit from Space Launch Complex 4E (SLC-4E) at Vandenberg Space Force Base in California.,  This was the fifth launch and landing for this Falcon 9 first stage booster, which previously launched NROL-87, NROL-85, SARah-1, and now two Starlink missions."
11,Crew-5 Mission,"October 5, 2022",/launches/crew-5/," On Thursday, October 6 at 5:01 p.m. ET, SpaceXs Dragon autonomously docked with the International Space Station. Approximately 29 hours earlier at 12:00 p.m. ET, Falcon 9 launched the spacecraft to orbit from Launch Complex 39A (LC-39A) at NASAs Kennedy Space Center in Florida.,  During their time on the orbiting laboratory, the crew will conduct over200 science experiments and technology demonstrationsin areas such as human health and lunar fuel systems. Dragon and Crew-5 will depart the station and return to Earth in early 2023."
12,Starlink Mission,"September 24, 2022",/launches/sl4-35/," On Saturday, September 24 at 7:32 p.m. ET, SpaceX launched 52 Starlink satellites to low-Earth orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the fourth launch and landing for this Falcon 9 first stage booster, which previously launched SES-22 and now three Starlink missions."
13,Starlink Mission,"September 18, 2022",/launches/sl4-34/," On Sunday, September 18 at 8:18 p.m. ET, SpaceX launched 54 Starlink satellites to orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the sixth launch and landing of this Falcon 9 first stage booster, which previously launched CRS-22, Crew-3, Turksat 5B, Crew-4, CRS-25, and now one Starlink mission."
14,Starlink Mission,"September 10, 2022",/launches/sl4-2/," On Saturday, September 10 at 9:20 p.m. ET, SpaceX launched 34 Starlink satellites and AST SpaceMobile’s BlueWalker 3 satellite to orbit from Launch Complex 39A (LC-39A) at Kennedy Space Center in Florida.,  This was the 14th launch and landing of this Falcon 9 first stage booster, which previously launched Crew Demo-2, ANASIS-II, CRS-21, Transporter-1, Transporter-3, and now nine Starlink missions."
15,Starlink Mission,"September 4, 2022",/launches/sl4-20/," On Sunday, September 4 at 10:09 p.m. ET, SpaceX launched 51 Starlink satellites and Spaceflight’s Sherpa-LTC, an orbital transfer vehicle, to orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the seventh flight for the first stage booster supporting this mission, which previously launched Arabsat-6A, STP-2, COSMO-SkyMed Second Generation FM2, KPLO, and now three Starlink missions."
16,Starlink Mission,"August 30, 2022",/launches/sl3-4/," On Tuesday, August 30 at 10:40 p.m. PT, Falcon 9 launched 46 Starlink satellites to low-Earth orbit from Space Launch Complex 4 East (SLC-4E) at Vandenberg Space Force Base, California.,  This was the 7th flight for this Falcon 9 first stage booster, which previously launched Sentinel-6 Michael Freilich, DART, and now five Starlink missions."
17,Starlink Mission,"August 27, 2022",/launches/sl4-23/," On Saturday, August 27 at 11:41 p.m. ET, SpaceX launched 54 Starlink satellites from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the second flight for the Falcon 9 first stage booster supporting this mission, which previously launched CRS-24 and now one Starlink mission."
18,CRS-25 Returns to Earth,"August 20, 2022",/launches/crs-25-return/, SpaceX © 2024PRIVACY POLICYSUPPLIERS
19,Starlink Mission,"August 19, 2022",/launches/sl4-27/," On Friday, August 19 at 3:21 p.m. ET, SpaceX launched 53 Starlink satellites from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the ninth flight for the Falcon 9 first stage booster supporting this mission, which previously launched GPS III Space Vehicle 04, GPS III Space Vehicle 05, Inspiration4, Ax-1, Nilesat 301, and now four Starlink missions."
20,Starlink Mission,"August 12, 2022",/launches/sl3-3/," On Friday, August 12 at 2:40 p.m. PT, Falcon 9 launched 46 Starlink satellites to low-Earth orbit from Space Launch Complex 4 East (SLC-4E) at Vandenberg Space Force Base, California.,  This was the 10th flight for this Falcon 9 first stage booster, which previously launched Crew-1, Crew-2, SXM-8, CRS-23, IXPE, Transporter-4, Transporter-5, Globalstar FM15, and now two Starlink missions."
21,Starlink Mission,"August 9, 2022",/launches/sl4-26/," On Tuesday, August 9 at 10:14 p.m. ET, SpaceX launched 52 Starlink satellites from Launch Complex 39A (LC-39A) at Kennedy Space Center in Florida.,  This was the third flight for the Falcon 9 first stage booster supporting this mission, which previously launched SES-22 and now two Starlink missions."
22,KPLO Mission,"August 4, 2022",/launches/kplo/," On Thursday, August 4 at 7:08 p.m. ET, Falcon 9 launchedKPLOto a ballistic lunar transfer orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the sixth launch and landing of this booster, which previously supported the launch of Arabsat-6A, STP-2, COSMO-SkyMed Second Generation FM2, and two Starlink missions."
23,Starlink Mission,"July 24, 2022",/launches/sl4-25/," On Sunday, July 24 at 9:38 a.m. ET, SpaceX launched 53 Starlink satellites from Launch Complex 39A (LC-39A) at Kennedy Space Center in Florida.,  This was the eighth flight for the Falcon 9 first stage booster supporting this mission, which previously launched GPS III Space Vehicle 04, GPS III Space Vehicle 05, Inspiration4, Ax-1, Nilesat 301, and now three Starlink missions."
24,Starlink Mission,"July 22, 2022",/launches/sl3-2/," On Friday, July 22 at 10:39 a.m. PT, Falcon 9 launched 46 Starlink satellites to low-Earth orbit from Space Launch Complex 4 East (SLC-4E) at Vandenberg Space Force Base, California.,  This was the fourth flight for the Falcon 9 first stage booster supporting this mission, which previously launched NROL-87, NROL-87 and SARah-1."
25,Starlink Mission,"July 17, 2022",/launches/sl4-22/," On Sunday, July 17 at 10:20 a.m. ET, SpaceX launched 53 Starlink satellites from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the 13th flight for the Falcon 9 first stage booster supporting this mission, which previously launched Dragon’s first crew demonstration mission, the RADARSAT Constellation Mission, SXM-7, and now 10 Starlink missions."
26,CRS-25 Mission,"July 14, 2022",/launches/crs-25/," On Thursday, July 14 at 8:44 p.m. ET, Falcon 9 launched Dragon on the 25th Commercial Resupply Services (CRS-25) mission from Launch Complex 39A (LC-39A) at Kennedy Space Center, Florida. Following stage separation, Falcon 9’s first stage landed on the A Shortfall of Gravitas droneship located in the Atlantic Ocean.,  Dragon separated from Falcon 9’s second stage about twelve minutes after liftoff and will dock to the space station on Saturday, July 16 at approximately 11:20 a.m. ET."
27,Starlink Mission,"July 10, 2022",/launches/sl3-1/," On Sunday, July 10 at 6:39 p.m. PT, Falcon 9 launched 46 Starlink satellites to low-Earth orbit from Space Launch Complex 4 East (SLC-4E) at Vandenberg Space Force Base, California.,  This Falcon 9 first stage booster previously launched Sentinel-6 Michael Freilich, DART, and three Starlink missions."
28,Starlink Mission,"July 7, 2022",/launches/sl4-21/," On Thursday, July 7 at 9:11 a.m. ET, SpaceX launched 53 Starlink satellites from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the 13th flight for the Falcon 9 first stage booster supporting this mission, which previously launched Crew Demo-2, ANASIS-II, CRS-21, Transporter-1, Transporter-3, and now eight Starlink missions."
29,SES-22 Mission,"June 29, 2022",/launches/ses-22/," On Wednesday, June 29 at 5:04 p.m. ET, Falcon 9 launchedSES-22to a geosynchronous transfer orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the second launch and landing of this booster, which previously supported the launch of one Starlink mission."
30,Globalstar FM15 Mission,"June 19, 2022",/launches/globalstar/," On Sunday, June 19 at 12:27 a.m. ET, Falcon 9 launchedGlobalstar FM15to low-Earth orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the ninth launch and landing of this booster, which previously supported the launch of Crew-1, Crew-2, SXM-8, CRS-23, IXPE, one Starlink mission, Transporter-4, and Transporter-5."
31,SARah-1 Mission,"June 18, 2022",/launches/sarah-1/," On Saturday, June 18 at 7:19 a.m. PT, Falcon 9 launched the SARah-1 mission from Space Launch Complex 4 East (SLC-4E) at Vandenberg Space Force Base in California.,  This was the third launch and landing of this booster, which previously launched the NROL-87 and NROL-85 missions."
32,Starlink Mission,"June 17, 2022",/launches/sl4-19/," On Friday, June 17 at 12:09 p.m. ET, SpaceX launched 53 Starlink satellites from Launch Complex 39A (LC-39A) at Kennedy Space Center in Florida.,  This was the 13th flight for the Falcon 9 first stage booster supporting this mission, which previously launched GPS III-3, Turksat 5A, Transporter-2, and now 10 Starlink missions."
33,Nilesat 301 Mission,"June 8, 2022",/launches/nilesat-301/," On Wednesday, June 8 at 5:04 p.m. ET, Falcon 9 launchedNilesat 301to a geosynchronous transfer orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the seventh launch and landing of this booster, which previously supported the launch of GPS III Space Vehicle 04, GPS III Space Vehicle 05, Inspiration4, Ax-1, and two Starlink missions."
34,Transporter-5 Mission,"May 25, 2022",/launches/transporter-5/," On Wednesday, May 25 at 2:35 p.m. ET, Falcon 9 launched Transporter-5, SpaceX’s fifth dedicated smallsat rideshare program mission, from Space Launch Complex 40 at Cape Canaveral Space Force Station in Florida. This was the eighth launch and landing of this Falcon 9 stage booster, which previously supported launch of Crew-1, Crew-2, SXM-8, CRS-23, IXPE, one Starlink mission, and Transporter-4.,  Following stage separation, SpaceX landed Falcon 9’s first stage on Landing Zone 1 (LZ-1) at Cape Canaveral Space Force Station. On board this flight were 59 spacecraft, including including CubeSats, microsats, non-deploying hosted payloads, and orbital transfer vehicles."
35,Starlink Mission,"May 18, 2022",/launches/sl4-18/," On Wednesday, May 18 at 6:59 a.m. ET, SpaceX launched 53 Starlink satellites from Launch Complex 39A (LC-39A) at Kennedy Space Center in Florida.,  This was the fifth flight for the Falcon 9 first stage booster supporting this mission, which previously launched Arabsat-6A, STP-2, COSMO-SkyMed Second Generation FM2, and now two Starlink missions."
36,Starlink Mission,"May 14, 2022",/launches/sl4-15/," On Saturday, May 14 at 4:40 p.m. ET, Falcon 9 launched 53 Starlink satellites to low-Earth orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  SpaceX © 2024PRIVACY POLICYSUPPLIERS"
37,Starlink Mission,"May 13, 2022",/launches/sl4-13/," On Friday, May 13 at 3:07 p.m. PT, Falcon 9 launched 53Starlinksatellites to low-Earth orbit from Space Launch Complex 4 East (SLC-4E) at Vandenberg Space Force Base, California.,  This Falcon 9 first stage booster previously launched Sentinel-6 Michael Freilich, DART, and two Starlink missions."
38,Starlink Mission,"May 6, 2022",/launches/sl4-17/," On Friday, May 6 at 5:42 a.m. ET, SpaceX launched 53 Starlink satellites from Launch Complex 39A (LC-39A) at Kennedy Space Center in Florida.,  This was the 12th flight for the Falcon 9 first stage booster supporting this mission, which previously launched Crew Demo-2, ANASIS-II, CRS-21, Transporter-1, Transporter-3, and now seven Starlink missions."
39,Crew-3 Returns to Earth,"May 6, 2022",/launches/crew-3-return/," After 177 days in space, Dragon and Crew-3 astronauts Raja Chari, Tom Marshburn, Kayla Barron, and Matthias Maurer returned to Earth and splashed down off the coast of Florida at 12:43 a.m. ET on Friday, May 6.,  Falcon 9launchedDragon and the Crew-3 astronauts to the orbiting laboratory on Wednesday, November 10, 2021 at 9:03 p.m. ET from Launch Complex 39A at NASA’s Kennedy Space Center in Florida."
40,Starlink Mission,"April 29, 2022",/launches/sl4-16/," On Friday, April 29 at 5:27 p.m. ET, Falcon 9 launched 53 Starlink satellites to low-Earth orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the sixth flight for the Falcon 9 first stage booster supporting this mission, which previously launched GPS III Space Vehicle 04, GPS III Space Vehicle 05, Inspiration4, Ax-1, and now two Starlink missions."
41,Crew-4 Mission,"April 27, 2022",/launches/crew-4/," On Wednesday, April 27 at 7:37 p.m. ET, Dragon autonomously docked with the International Space Station. Falcon 9 launched the spacecraft to orbit from Launch Complex 39A at NASA’s Kennedy Space Center in Florida approximately 16 hours earlier at 3:52 a.m. ET.,  During their time at the orbiting laboratory, the Crew-4 astronauts will conduct over 200 science experiments in areas such as materials science, health technologies, and plant science to prepare for human exploration beyond low-Earth orbit and benefit life on Earth. Dragon and the Crew-4 astronauts will depart the station and return to Earth no earlier than September 2022."
42,Starlink Mission,"April 21, 2022",/launches/sl4-14/," On Thursday, April 21 at 1:51 p.m. ET, Falcon 9 launched 53Starlinksatellites to low-Earth orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the 12th flight for the Falcon 9 first stage booster supporting this mission, which previously launched GPS III-3, Turksat 5A, Transporter-2, and now nine Starlink missions."
43,NROL-85 Mission,"April 15, 2022",/launches/nrol-85/," On Sunday, April 17 at 6:13 a.m. PT, Falcon 9 launched the NROL-85 mission from Space Launch Complex 4 East (SLC-4E) at Vandenberg Space Force Base in California.,  This was the second launch and landing of this booster, which previously launched the NROL-87 mission."
44,Ax-1 Mission,"April 8 - 25, 2022",/launches/ax-1/," After 17 days in space, Dragon and Axiom SpacesAx-1crew safely splashed down off the coast of Florida at 1:06 p.m. ET on Monday, April 25, 2022, completing Axiom’s first human spaceflight and the first all-private astronaut mission to the International Space Station. Falcon 9 launched Dragon and the Ax-1 crew to the orbiting laboratory on Friday, April 8 at 11:17 a.m. ET from Launch Complex 39A (LC-39A) at NASAs Kennedy Space Center in Florida.,  Ax-1 is the first of four missions SpaceX will launch to the space station on behalf of Axiom Space via SpaceX’s Falcon 9 and Dragon vehicles."
45,Transporter-4 Mission,"April 1, 2022",/launches/transporter-4/," On Friday, April 1 at 12:24 p.m. ET, Falcon 9 launchedTransporter-4, SpaceX’s fourth dedicatedsmallsat rideshare programmission, from Space Launch Complex 40 at Cape Canaveral Space Force Station in Florida. This was the seventh launch and landing of this Falcon 9 stage booster, which previously supported launch of Crew-1, Crew-2, SXM-8, CRS-23, IXPE, and one Starlink mission. Following stage separation, Falcon 9’s first stage landed on the Just Read the Instructions droneship, which was stationed in the Atlantic Ocean.,  On board this flight were 40 spacecraft, including CubeSats, microsats, picosats, non-deploying hosted payloads, and an orbital transfer vehicle carrying spacecraft to be deployed at a later time."
46,Starlink Mission,"March 19, 2022",/launches/sl4-12/," On Saturday, March 19 at 12:42 a.m. ET, Falcon 9 launched 53Starlinksatellites to low-Earth orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida, completing the first twelfth launch and landing of an orbital class rocket booster.,  This Falcon 9 first stage booster previously launched Dragon’s first crew demonstration mission, the RADARSAT Constellation Mission, SXM-7, and now nine Starlink missions."
47,Starlink Mission,"March 9, 2022",/launches/sl4-10/," On Wednesday, March 9 at 8:45 a.m. EST, Falcon 9 launched 48Starlinksatellites to low Earth orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the fourth launch and landing of this Falcon 9 first stage booster, which previously launched Arabsat-6A, STP-2, and COSMO-SkyMed Second Generation FM2."
48,Starlink Mission,"March 3, 2022",/launches/sl4-9/," On Thursday, March 3 at 9:25 a.m. EST, SpaceX launched 47Starlinksatellites from Launch Complex 39A (LC-39A) at Kennedy Space Center in Florida.,  This was the 11th flight for the Falcon 9 first stage booster supporting this mission, which previously launched GPS III-3, Turksat-5A, Transporter 2, and now eight Starlink missions."
49,Starlink Mission,"February 25, 2022",/launches/sl4-11/," On Friday, February 25 at 9:12 a.m. PST, SpaceX launched 50Starlinksatellites from Space Launch Complex 4 East (SLC-4E) at Vandenberg Space Force Base in California.,  This was the fourth flight for the Falcon 9 first stage booster supporting this mission, which previously supported Sentinel-6 Michael Freilich, DART and one Starlink mission."
50,Starlink Mission,"February 21, 2022",/launches/sl4-8/," On Monday, February 21 at 9:44 a.m. EST, SpaceX launched 46Starlinksatellites from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the 11th flight for the Falcon 9 first stage booster supporting this mission, which previously launched Crew Demo-2, ANASIS-II, CRS-21, Transporter-1, Transporter-3, and now six Starlink missions."
51,Starlink Mission,"February 3, 2022",/launches/sl4-7/," On Thursday, February 3 at 1:13 p.m. EST, Falcon 9 launched 49Starlinksatellites to low Earth orbit from Launch Complex 39A (LC-39A) at Kennedy Space Center in Florida.,  This was the sixth launch and landing of this Falcon 9 first stage booster, which previously launched Crew-1, Crew-2, SXM-8, CRS-23, and IXPE."
52,NROL-87 Mission,"February 2, 2022",/launches/nrol-87/," On Wednesday, February 2 at 12:27 p.m. PST, Falcon 9 launched theNROL-87mission from Space Launch Complex 4 East (SLC-4E) at Vandenberg Space Force Base in California.,  This was the first launch and landing of this booster, which will be prepared for re-flight on another NRO mission later this year."
53,COSMO-SKYMED SECOND GENERATION FM2 MISSION,"January 31, 2022",/launches/cosmo-skymed/," On Monday, January 31 at 6:11 p.m. EST, Falcon 9 launched theCOSMO-SkyMed Second Generation FM2mission to low Earth orbit from Space Launch Complex 40 (SLC-40) at Cape Canaveral Space Force Station in Florida.,  This was the third launch and landing of this booster, which previously supported the launch of Arabsat-6A and STP-2."
54,DRAGON RETURNS TO EARTH FOR CRS-24 MISSION,"January 24, 2022",/launches/crs-24-return/, SpaceX © 2024PRIVACY POLICYSUPPLIERS
55,Starlink Mission,"January 18, 2022",/launches/sl4-6/," On Tuesday, January 18 at 9:02 p.m. EST, Falcon 9 launched 49Starlinksatellites to low Earth orbit\n    from Launch Complex 39A (LC-39A) at Kennedy Space Center in Florida.,  This was the tenth launch and landing of this Falcon 9 first stage booster, which has launched GPS III-3, Turksat 5A, Transporter-2, and now seven Starlink missions."
56,Transporter-3 Mission,"January 13, 2022",/launches/transporter-3-mission/," On Thursday, January 13 at 10:25 a.m. EST, Falcon 9 launchedTransporter-3, SpaceX’s third dedicatedSmallSat Rideshare Programmission, from Space Launch Complex 40 at Cape Canaveral Space Force Station in Florida. This was the tenth launch and landing of this Falcon 9 stage\n    booster, which previously supported launch of Crew Demo-2, ANASIS-II, CRS-21, Transporter-1, and five Starlink missions. Following stage separation,\n    SpaceX landed Falcon 9’s first stage on Landing Zone 1 (LZ-1) at Cape Canaveral Space Force Station.,  On board this launch were 105 commercial and government spacecraft (including CubeSats, microsats, PocketQubes, and orbital transfer vehicles)."
57,Starlink Mission,"January 6, 2022",/launches/sl4-5/," On Thursday, January 6 at 4:49 p.m. EST, Falcon 9 launched 49Starlinksatellites to low Earth\n    orbit from Launch Complex 39A (LC-39A) at Kennedy Space Center in Florida.,  This was the fourth launch and landing of this Falcon 9 first stage booster, which previously launched GPS III-4, GPS III-5, and Inspiration4."
